41
0,3
0.05,2.997500521
0.1,2.990008331
0.15,2.977542156
0.2,2.960133156
0.25,2.937824843
0.3,2.910672978
0.35,2.878745426
0.4,2.842121988
0.45,2.800894205
0.5,2.755165124
0.55,2.705049044
0.6,2.65067123
0.65,2.592167597
0.7,2.529684375
0.75,2.463377738
0.8,2.393413419
0.85,2.319966292
0.9,2.243219937
0.95,2.163366179
1,2.080604612
1.05,1.995142096
1.1,1.907192243
1.15,1.816974882
1.2,1.724715509
1.25,1.630644725
1.3,1.534997657
1.35,1.438013374
1.4,1.339934286
1.45,1.241005539
1.5,1.141474403
1.55,1.041589656
1.6,0.941600955
1.65,0.841758222
1.7,0.742311011
1.75,0.643507889
1.8,0.545595811
1.85,0.448819506
1.9,0.353420866
1.95,0.259638337
2,0.167706327
