41
0,2
0.05,2.778836685
0.1,3.434712182
0.15,3.864078172
0.2,3.999147206
0.25,3.818594854
0.3,3.350926361
0.35,2.6699763
0.4,1.883251713
0.45,1.114959113
0.5,0.486395009
0.55,0.096795852
0.6,0.007670782
0.65,0.233090689
0.7,0.737466724
0.75,1.441169004
0.8,2.23309841
0.85,2.988226702
0.9,3.587335728
0.95,3.935839344
1,3.978716493
1.05,3.709197816
1.1,3.169834386
1.15,2.445779828
1.2,1.651346438
1.25,0.911957778
1.3,0.344347062
1.35,0.03812754
1.4,0.041644542
1.45,0.35434281
1.5,0.926854164
1.55,1.668791649
1.6,2.46301965
1.65,3.184147029
1.7,3.71832363
1.75,3.981214711
1.8,3.931315553
1.85,3.576504135
1.9,2.972797378
1.95,2.215507305
2,1.424193367
