41
0,1
0.05,1.000041667
0.1,1.000333333
0.15,1.001125
0.2,1.002666667
0.25,1.005208333
0.3,1.009
0.35,1.014291667
0.4,1.021333333
0.45,1.030375
0.5,1.041666667
0.55,1.055458333
0.6,1.072
0.65,1.091541667
0.7,1.114333333
0.75,1.140625
0.8,1.170666667
0.85,1.204708333
0.9,1.243
0.95,1.285791667
1,1.333333333
1.05,1.385875
1.1,1.443666667
1.15,1.506958333
1.2,1.576
1.25,1.651041667
1.3,1.732333333
1.35,1.820125
1.4,1.914666667
1.45,2.016208333
1.5,2.125
1.55,2.241291667
1.6,2.365333333
1.65,2.497375
1.7,2.637666667
1.75,2.786458333
1.8,2.944
1.85,3.110541667
1.9,3.286333333
1.95,3.471625
2,3.666666667
